date,channel,campaign,spend,impressions,clicks,conversions,cpc,ctr,cvr
2023-01-01,Google Ads,Performance_Search,396.93,395,145,32,2.73,0.3662,0.2243
2023-01-01,Google Ads,Performance_Shopping,313.63,419,134,27,2.33,0.3191,0.2039
2023-01-01,Google Ads,Remarketing_Display,203.46,3446,78,21,2.6,0.0226,0.2735
2023-01-01,Google Ads,Lead_Generation,571.5,738,242,38,2.36,0.3277,0.1592
2023-01-01,Google Ads,Display_Generico,643.62,9398,256,7,2.51,0.0272,0.0287
2023-01-01,Google Ads,Video_Awareness_Amplo,780.43,13088,336,13,2.32,0.0257,0.0389
2023-01-01,Meta Ads,Performance_Search,428.02,744,224,44,1.9,0.3008,0.1986
2023-01-01,Meta Ads,Performance_Shopping,479.99,896,293,46,1.64,0.3269,0.1597
2023-01-01,Meta Ads,Remarketing_Display,135.34,2239,68,16,1.96,0.0304,0.2389
2023-01-01,Meta Ads,Lead_Generation,370.28,672,223,33,1.66,0.3318,0.1512
2023-01-01,Meta Ads,Display_Generico,562.58,14976,312,9,1.8,0.0208,0.0292
2023-01-01,Meta Ads,Video_Awareness_Amplo,623.4,14151,335,12,1.86,0.0237,0.0361
2023-01-01,TikTok Ads,Performance_Search,462.57,988,411,104,1.12,0.4157,0.2553
2023-01-01,TikTok Ads,Performance_Shopping,612.31,1218,472,106,1.29,0.3874,0.2266
2023-01-01,TikTok Ads,Remarketing_Display,138.32,4905,122,32,1.13,0.0249,0.2654
2023-01-01,TikTok Ads,Lead_Generation,402.32,866,351,63,1.15,0.405,0.1816
2023-01-01,TikTok Ads,Display_Generico,633.25,20089,523,18,1.21,0.026,0.035
2023-01-01,TikTok Ads,Video_Awareness_Amplo,541.46,12192,411,16,1.32,0.0337,0.0413
2023-01-02,Google Ads,Performance_Search,394.24,406,148,34,2.66,0.3645,0.2301
2023-01-02,Google Ads,Performance_Shopping,843.35,1082,368,64,2.29,0.3401,0.1754
2023-01-02,Google Ads,Remarketing_Display,364.24,5439,142,32,2.56,0.0261,0.2282
2023-01-02,Google Ads,Lead_Generation,573.39,647,237,41,2.41,0.3661,0.1747
2023-01-02,Google Ads,Display_Generico,1389.08,23505,558,17,2.49,0.0237,0.0313
2023-01-02,Google Ads,Video_Awareness_Amplo,1302.57,16562,514,20,2.53,0.031,0.04
2023-01-02,Meta Ads,Performance_Search,697.58,1356,393,71,1.77,0.2896,0.1825
2023-01-02,Meta Ads,Performance_Shopping,409.43,717,221,37,1.85,0.3081,0.1713
2023-01-02,Meta Ads,Remarketing_Display,372.93,8832,218,51,1.71,0.0247,0.2365
2023-01-02,Meta Ads,Lead_Generation,525.19,1037,318,45,1.65,0.3065,0.1426
2023-01-02,Meta Ads,Display_Generico,1418.15,27516,742,21,1.91,0.027,0.029
2023-01-02,Meta Ads,Video_Awareness_Amplo,1331.91,26637,789,28,1.69,0.0296,0.0363
2023-01-02,TikTok Ads,Performance_Search,864.56,1821,667,148,1.3,0.3662,0.2231
2023-01-02,TikTok Ads,Performance_Shopping,524.68,1096,443,99,1.18,0.4042,0.2241
2023-01-02,TikTok Ads,Remarketing_Display,196.86,5545,163,42,1.2,0.0294,0.2597
2023-01-02,TikTok Ads,Lead_Generation,461.3,959,397,71,1.16,0.4137,0.1804
2023-01-02,TikTok Ads,Display_Generico,1136.98,31661,910,32,1.25,0.0287,0.0361
2023-01-02,TikTok Ads,Video_Awareness_Amplo,1440.55,41591,1263,53,1.14,0.0304,0.0422
2023-01-03,Google Ads,Performance_Search,558.06,687,246,54,2.27,0.3577,0.2201
2023-01-03,Google Ads,Performance_Shopping,421.19,464,176,31,2.39,0.3786,0.1801
2023-01-03,Google Ads,Remarketing_Display,223.83,2661,89,21,2.49,0.0334,0.2371
2023-01-03,Google Ads,Lead_Generation,785.21,898,298,52,2.63,0.3316,0.1778
2023-01-03,Google Ads,Display_Generico,1033.66,13629,402,12,2.57,0.0295,0.0302
2023-01-03,Google Ads,Video_Awareness_Amplo,843.78,12157,316,11,2.67,0.026,0.0375
2023-01-03,Meta Ads,Performance_Search,414.91,682,226,40,1.83,0.3314,0.1789
2023-01-03,Meta Ads,Performance_Shopping,691.34,1232,406,64,1.7,0.3293,0.1599
2023-01-03,Meta Ads,Remarketing_Display,330.58,6218,187,39,1.76,0.0301,0.2087
