customer_id,acquisition_date,acquisition_channel,acquisition_campaign,segment,region,total_orders,total_revenue,status
1,2023-01-01,Google Ads,Display_Generico,SMB,SP,7,998.41,churned
2,2023-01-01,Google Ads,Lead_Generation,SMB,RS,7,1277.01,active
3,2023-01-01,Google Ads,Lead_Generation,Mid-Market,SP,7,3091.4,churned
4,2023-01-01,Google Ads,Lead_Generation,Mid-Market,RJ,10,4241.82,active
5,2023-01-01,Google Ads,Lead_Generation,SMB,SC,10,1862.68,active
6,2023-01-01,Google Ads,Lead_Generation,SMB,DF,9,1689.03,active
7,2023-01-01,Google Ads,Performance_Search,Mid-Market,DF,11,6406.32,churned
8,2023-01-01,Google Ads,Performance_Search,Mid-Market,SP,4,3017.93,active
9,2023-01-01,Google Ads,Performance_Shopping,SMB,SP,7,1490.7,churned
10,2023-01-01,Google Ads,Performance_Shopping,Enterprise,BA,8,7766.12,churned
11,2023-01-01,Google Ads,Remarketing_Display,SMB,PR,7,1531.0,active
12,2023-01-01,Google Ads,Remarketing_Display,SMB,SP,8,1755.43,active
13,2023-01-01,Google Ads,Remarketing_Display,SMB,RJ,5,802.22,churned
14,2023-01-01,Google Ads,Remarketing_Display,SMB,ES,4,636.97,active
15,2023-01-01,Google Ads,Video_Awareness_Amplo,SMB,PE,4,1039.98,active
16,2023-01-01,Meta Ads,Display_Generico,SMB,BA,6,951.42,active
17,2023-01-01,Meta Ads,Lead_Generation,SMB,ES,5,1181.49,active
18,2023-01-01,Meta Ads,Lead_Generation,SMB,SP,9,2062.81,active
19,2023-01-01,Meta Ads,Lead_Generation,SMB,SP,2,512.17,active
20,2023-01-01,Meta Ads,Lead_Generation,SMB,RJ,7,1531.98,churned
21,2023-01-01,Meta Ads,Lead_Generation,SMB,MG,3,301.91,churned
22,2023-01-01,Meta Ads,Performance_Search,SMB,GO,3,626.65,churned
23,2023-01-01,Meta Ads,Performance_Search,SMB,RS,4,755.37,active
24,2023-01-01,Meta Ads,Performance_Search,SMB,BA,6,1370.5,active
25,2023-01-01,Meta Ads,Performance_Search,Mid-Market,RJ,7,3841.04,active
26,2023-01-01,Meta Ads,Performance_Shopping,SMB,MG,5,1282.34,active
27,2023-01-01,Meta Ads,Performance_Shopping,Enterprise,PE,4,4241.58,active
28,2023-01-01,Meta Ads,Performance_Shopping,SMB,SP,8,1584.32,active
29,2023-01-01,Meta Ads,Performance_Shopping,SMB,MG,4,682.59,churned
30,2023-01-01,Meta Ads,Performance_Shopping,SMB,SC,3,368.29,active
31,2023-01-01,Meta Ads,Performance_Shopping,SMB,SC,4,693.21,churned
32,2023-01-01,Meta Ads,Performance_Shopping,Mid-Market,SC,4,1088.67,churned
33,2023-01-01,Meta Ads,Remarketing_Display,SMB,GO,1,84.51,active
34,2023-01-01,Meta Ads,Remarketing_Display,Mid-Market,PR,5,2778.89,active
35,2023-01-01,Meta Ads,Video_Awareness_Amplo,Mid-Market,GO,4,2490.13,churned
36,2023-01-01,Meta Ads,Video_Awareness_Amplo,SMB,MG,6,1762.54,churned
37,2023-01-01,TikTok Ads,Display_Generico,Mid-Market,PR,4,1147.52,churned
38,2023-01-01,TikTok Ads,Display_Generico,SMB,CE,8,1479.14,churned
39,2023-01-01,TikTok Ads,Display_Generico,Mid-Market,BA,3,1299.19,active
40,2023-01-01,TikTok Ads,Lead_Generation,SMB,SP,9,1952.52,churned
41,2023-01-01,TikTok Ads,Lead_Generation,SMB,RJ,3,516.79,churned
42,2023-01-01,TikTok Ads,Lead_Generation,SMB,PE,5,756.84,active
43,2023-01-01,TikTok Ads,Lead_Generation,Mid-Market,PE,5,3488.58,churned
44,2023-01-01,TikTok Ads,Lead_Generation,SMB,SP,8,1351.75,churned
45,2023-01-01,TikTok Ads,Lead_Generation,SMB,RS,4,603.18,active
46,2023-01-01,TikTok Ads,Lead_Generation,Mid-Market,RS,3,1378.49,churned
47,2023-01-01,TikTok Ads,Lead_Generation,SMB,CE,3,593.86,active
48,2023-01-01,TikTok Ads,Lead_Generation,Mid-Market,MG,6,2427.22,active
49,2023-01-01,TikTok Ads,Performance_Search,SMB,PR,4,877.44,active
50,2023-01-01,TikTok Ads,Performance_Search,Mid-Market,SC,6,2528.29,churned
51,2023-01-01,TikTok Ads,Performance_Search,Mid-Market,RS,7,2808.69,churned
52,2023-01-01,TikTok Ads,Performance_Search,SMB,RS,2,365.68,active
53,2023-01-01,TikTok Ads,Performance_Search,SMB,SP,6,1048.2,active
54,2023-01-01,TikTok Ads,Performance_Search,SMB,SP,9,1529.55,active
55,2023-01-01,TikTok Ads,Performance_Search,Mid-Market,DF,5,3628.32,active
56,2023-01-01,TikTok Ads,Performance_Search,SMB,RJ,3,605.26,active
57,2023-01-01,TikTok Ads,Performance_Search,SMB,SC,5,775.16,active
58,2023-01-01,TikTok Ads,Performance_Search,SMB,RJ,6,1319.52,churned
59,2023-01-01,TikTok Ads,Performance_Search,Mid-Market,SP,7,2861.1,active
60,2023-01-01,TikTok Ads,Performance_Search,SMB,SP,6,1474.18,active
61,2023-01-01,TikTok Ads,Performance_Search,Enterprise,PE,5,5640.91,churned
62,2023-01-01,TikTok Ads,Performance_Shopping,SMB,SP,5,959.14,active
63,2023-01-01,TikTok Ads,Performance_Shopping,SMB,RJ,4,1121.67,churned
64,2023-01-01,TikTok Ads,Performance_Shopping,SMB,MG,6,761.51,active
65,2023-01-01,TikTok Ads,Performance_Shopping,Enterprise,SP,3,3163.53,active
66,2023-01-01,TikTok Ads,Performance_Shopping,Enterprise,SC,3,3945.9,active
67,2023-01-01,TikTok Ads,Performance_Shopping,Mid-Market,RJ,5,3800.94,churned
68,2023-01-01,TikTok Ads,Performance_Shopping,SMB,SP,6,1104.51,churned
69,2023-01-01,TikTok Ads,Performance_Shopping,Mid-Market,SC,9,4307.95,active
70,2023-01-01,TikTok Ads,Performance_Shopping,Mid-Market,RS,6,2871.07,active
71,2023-01-01,TikTok Ads,Performance_Shopping,SMB,DF,2,611.07,churned
72,2023-01-01,TikTok Ads,Performance_Shopping,Mid-Market,DF,7,2440.25,active
73,2023-01-01,TikTok Ads,Performance_Shopping,Enterprise,SP,5,6324.86,active
74,2023-01-01,TikTok Ads,Performance_Shopping,Mid-Market,PE,4,1271.26,active
75,2023-01-01,TikTok Ads,Performance_Shopping,SMB,RJ,8,1452.49,active
76,2023-01-01,TikTok Ads,Performance_Shopping,SMB,RS,7,1365.35,active
77,2023-01-01,TikTok Ads,Remarketing_Display,SMB,MG,7,1232.7,churned
78,2023-01-01,TikTok Ads,Remarketing_Display,SMB,SP,8,1706.75,active
79,2023-01-01,TikTok Ads,Remarketing_Display,Enterprise,BA,6,5650.84,active
80,2023-01-01,TikTok Ads,Remarketing_Display,SMB,PE,8,1185.02,active
81,2023-01-02,Google Ads,Display_Generico,SMB,SP,3,444.31,churned
82,2023-01-02,Google Ads,Display_Generico,SMB,SP,3,781.37,active
83,2023-01-02,Google Ads,Lead_Generation,Mid-Market,PE,3,1766.74,churned
84,2023-01-02,Google Ads,Lead_Generation,SMB,CE,4,790.48,active
85,2023-01-02,Google Ads,Performance_Search,Mid-Market,MG,8,3805.81,active
86,2023-01-02,Google Ads,Performance_Search,SMB,RJ,3,846.13,active
87,2023-01-02,Google Ads,Performance_Search,Mid-Market,RS,6,2575.91,active
88,2023-01-02,Google Ads,Performance_Search,Mid-Market,DF,6,1847.45,active
89,2023-01-02,Google Ads,Performance_Shopping,Mid-Market,ES,1,665.16,active
90,2023-01-02,Google Ads,Performance_Shopping,Enterprise,RJ,11,11013.16,active
91,2023-01-02,Google Ads,Performance_Shopping,Mid-Market,GO,6,3445.7,active
92,2023-01-02,Google Ads,Performance_Shopping,SMB,BA,1,341.93,active
93,2023-01-02,Google Ads,Performance_Shopping,SMB,SP,9,2020.27,churned
94,2023-01-02,Google Ads,Performance_Shopping,SMB,SP,4,851.97,churned
95,2023-01-02,Google Ads,Performance_Shopping,Enterprise,MG,5,5124.54,active
96,2023-01-02,Google Ads,Performance_Shopping,Mid-Market,PR,5,2556.49,active
97,2023-01-02,Google Ads,Performance_Shopping,SMB,SP,8,1827.4,active
98,2023-01-02,Google Ads,Performance_Shopping,SMB,MG,10,2412.39,active
99,2023-01-02,Google Ads,Remarketing_Display,SMB,RJ,4,609.14,churned
100,2023-01-02,Google Ads,Remarketing_Display,SMB,BA,5,825.25,churned
101,2023-01-02,Google Ads,Remarketing_Display,SMB,SP,6,1350.58,active
102,2023-01-02,Google Ads,Video_Awareness_Amplo,SMB,SP,5,975.5,churned
103,2023-01-02,Meta Ads,Display_Generico,Mid-Market,PR,6,2997.2,churned
104,2023-01-02,Meta Ads,Lead_Generation,Mid-Market,PE,4,1937.93,churned
105,2023-01-02,Meta Ads,Lead_Generation,SMB,SP,4,573.22,churned
106,2023-01-02,Meta Ads,Lead_Generation,SMB,RJ,4,694.71,active
107,2023-01-02,Meta Ads,Lead_Generation,Enterprise,MG,3,3559.38,active
108,2023-01-02,Meta Ads,Lead_Generation,Mid-Market,BA,3,802.52,churned
109,2023-01-02,Meta Ads,Lead_Generation,SMB,SC,3,462.24,churned
110,2023-01-02,Meta Ads,Performance_Search,SMB,BA,8,1977.76,active
111,2023-01-02,Meta Ads,Performance_Search,Mid-Market,DF,3,1296.14,churned
