Data,Ano,Mes_Numero,Mes_Nome,Trimestre,Semana,Dia_Semana,Dia_Mes,Fim_Semana,Ano_Mes,Black_Friday,Natal
2022-01-01,2022,1,Janeiro,1,52,Sábado,1,True,2022-01,False,False
2022-01-02,2022,1,Janeiro,1,52,Domingo,2,True,2022-01,False,False
2022-01-03,2022,1,Janeiro,1,1,Segunda,3,False,2022-01,False,False
2022-01-04,2022,1,Janeiro,1,1,Terça,4,False,2022-01,False,False
2022-01-05,2022,1,Janeiro,1,1,Quarta,5,False,2022-01,False,False
2022-01-06,2022,1,Janeiro,1,1,Quinta,6,False,2022-01,False,False
2022-01-07,2022,1,Janeiro,1,1,Sexta,7,False,2022-01,False,False
2022-01-08,2022,1,Janeiro,1,1,Sábado,8,True,2022-01,False,False
2022-01-09,2022,1,Janeiro,1,1,Domingo,9,True,2022-01,False,False
2022-01-10,2022,1,Janeiro,1,2,Segunda,10,False,2022-01,False,False
2022-01-11,2022,1,Janeiro,1,2,Terça,11,False,2022-01,False,False
2022-01-12,2022,1,Janeiro,1,2,Quarta,12,False,2022-01,False,False
2022-01-13,2022,1,Janeiro,1,2,Quinta,13,False,2022-01,False,False
2022-01-14,2022,1,Janeiro,1,2,Sexta,14,False,2022-01,False,False
2022-01-15,2022,1,Janeiro,1,2,Sábado,15,True,2022-01,False,False
2022-01-16,2022,1,Janeiro,1,2,Domingo,16,True,2022-01,False,False
2022-01-17,2022,1,Janeiro,1,3,Segunda,17,False,2022-01,False,False
2022-01-18,2022,1,Janeiro,1,3,Terça,18,False,2022-01,False,False
2022-01-19,2022,1,Janeiro,1,3,Quarta,19,False,2022-01,False,False
2022-01-20,2022,1,Janeiro,1,3,Quinta,20,False,2022-01,False,False
2022-01-21,2022,1,Janeiro,1,3,Sexta,21,False,2022-01,False,False
2022-01-22,2022,1,Janeiro,1,3,Sábado,22,True,2022-01,False,False
2022-01-23,2022,1,Janeiro,1,3,Domingo,23,True,2022-01,False,False
2022-01-24,2022,1,Janeiro,1,4,Segunda,24,False,2022-01,False,False
2022-01-25,2022,1,Janeiro,1,4,Terça,25,False,2022-01,False,False
2022-01-26,2022,1,Janeiro,1,4,Quarta,26,False,2022-01,False,False
2022-01-27,2022,1,Janeiro,1,4,Quinta,27,False,2022-01,False,False
2022-01-28,2022,1,Janeiro,1,4,Sexta,28,False,2022-01,False,False
2022-01-29,2022,1,Janeiro,1,4,Sábado,29,True,2022-01,False,False
2022-01-30,2022,1,Janeiro,1,4,Domingo,30,True,2022-01,False,False
2022-01-31,2022,1,Janeiro,1,5,Segunda,31,False,2022-01,False,False
2022-02-01,2022,2,Fevereiro,1,5,Terça,1,False,2022-02,False,False
2022-02-02,2022,2,Fevereiro,1,5,Quarta,2,False,2022-02,False,False
2022-02-03,2022,2,Fevereiro,1,5,Quinta,3,False,2022-02,False,False
2022-02-04,2022,2,Fevereiro,1,5,Sexta,4,False,2022-02,False,False
2022-02-05,2022,2,Fevereiro,1,5,Sábado,5,True,2022-02,False,False
2022-02-06,2022,2,Fevereiro,1,5,Domingo,6,True,2022-02,False,False
