ID_Cliente,Data_Aquisicao,Canal_Aquisicao,Campanha_Aquisicao,Segmento,Regiao,Total_Pedidos,LTV,Status,Cohort
1,2023-01-01,Google Ads,Display_Generico,SMB,SP,7,998.41,churned,2023-01
2,2023-01-01,Google Ads,Lead_Generation,SMB,RS,7,1277.01,active,2023-01
3,2023-01-01,Google Ads,Lead_Generation,Mid-Market,SP,7,3091.4,churned,2023-01
4,2023-01-01,Google Ads,Lead_Generation,Mid-Market,RJ,10,4241.82,active,2023-01
5,2023-01-01,Google Ads,Lead_Generation,SMB,SC,10,1862.68,active,2023-01
6,2023-01-01,Google Ads,Lead_Generation,SMB,DF,9,1689.03,active,2023-01
7,2023-01-01,Google Ads,Performance_Search,Mid-Market,DF,11,6406.32,churned,2023-01
8,2023-01-01,Google Ads,Performance_Search,Mid-Market,SP,4,3017.93,active,2023-01
9,2023-01-01,Google Ads,Performance_Shopping,SMB,SP,7,1490.7,churned,2023-01
10,2023-01-01,Google Ads,Performance_Shopping,Enterprise,BA,8,7766.12,churned,2023-01
11,2023-01-01,Google Ads,Remarketing_Display,SMB,PR,7,1531.0,active,2023-01
12,2023-01-01,Google Ads,Remarketing_Display,SMB,SP,8,1755.43,active,2023-01
13,2023-01-01,Google Ads,Remarketing_Display,SMB,RJ,5,802.22,churned,2023-01
14,2023-01-01,Google Ads,Remarketing_Display,SMB,ES,4,636.97,active,2023-01
15,2023-01-01,Google Ads,Video_Awareness_Amplo,SMB,PE,4,1039.98,active,2023-01
16,2023-01-01,Meta Ads,Display_Generico,SMB,BA,6,951.42,active,2023-01
17,2023-01-01,Meta Ads,Lead_Generation,SMB,ES,5,1181.49,active,2023-01
18,2023-01-01,Meta Ads,Lead_Generation,SMB,SP,9,2062.81,active,2023-01
19,2023-01-01,Meta Ads,Lead_Generation,SMB,SP,2,512.17,active,2023-01
20,2023-01-01,Meta Ads,Lead_Generation,SMB,RJ,7,1531.98,churned,2023-01
21,2023-01-01,Meta Ads,Lead_Generation,SMB,MG,3,301.91,churned,2023-01
22,2023-01-01,Meta Ads,Performance_Search,SMB,GO,3,626.65,churned,2023-01
23,2023-01-01,Meta Ads,Performance_Search,SMB,RS,4,755.37,active,2023-01
24,2023-01-01,Meta Ads,Performance_Search,SMB,BA,6,1370.5,active,2023-01
25,2023-01-01,Meta Ads,Performance_Search,Mid-Market,RJ,7,3841.04,active,2023-01
26,2023-01-01,Meta Ads,Performance_Shopping,SMB,MG,5,1282.34,active,2023-01
27,2023-01-01,Meta Ads,Performance_Shopping,Enterprise,PE,4,4241.58,active,2023-01
28,2023-01-01,Meta Ads,Performance_Shopping,SMB,SP,8,1584.32,active,2023-01
29,2023-01-01,Meta Ads,Performance_Shopping,SMB,MG,4,682.59,churned,2023-01
30,2023-01-01,Meta Ads,Performance_Shopping,SMB,SC,3,368.29,active,2023-01
31,2023-01-01,Meta Ads,Performance_Shopping,SMB,SC,4,693.21,churned,2023-01
32,2023-01-01,Meta Ads,Performance_Shopping,Mid-Market,SC,4,1088.67,churned,2023-01
33,2023-01-01,Meta Ads,Remarketing_Display,SMB,GO,1,84.51,active,2023-01
34,2023-01-01,Meta Ads,Remarketing_Display,Mid-Market,PR,5,2778.89,active,2023-01
35,2023-01-01,Meta Ads,Video_Awareness_Amplo,Mid-Market,GO,4,2490.13,churned,2023-01
36,2023-01-01,Meta Ads,Video_Awareness_Amplo,SMB,MG,6,1762.54,churned,2023-01
37,2023-01-01,TikTok Ads,Display_Generico,Mid-Market,PR,4,1147.52,churned,2023-01
38,2023-01-01,TikTok Ads,Display_Generico,SMB,CE,8,1479.14,churned,2023-01
39,2023-01-01,TikTok Ads,Display_Generico,Mid-Market,BA,3,1299.19,active,2023-01
40,2023-01-01,TikTok Ads,Lead_Generation,SMB,SP,9,1952.52,churned,2023-01
41,2023-01-01,TikTok Ads,Lead_Generation,SMB,RJ,3,516.79,churned,2023-01
42,2023-01-01,TikTok Ads,Lead_Generation,SMB,PE,5,756.84,active,2023-01
43,2023-01-01,TikTok Ads,Lead_Generation,Mid-Market,PE,5,3488.58,churned,2023-01
44,2023-01-01,TikTok Ads,Lead_Generation,SMB,SP,8,1351.75,churned,2023-01
45,2023-01-01,TikTok Ads,Lead_Generation,SMB,RS,4,603.18,active,2023-01
46,2023-01-01,TikTok Ads,Lead_Generation,Mid-Market,RS,3,1378.49,churned,2023-01
47,2023-01-01,TikTok Ads,Lead_Generation,SMB,CE,3,593.86,active,2023-01
48,2023-01-01,TikTok Ads,Lead_Generation,Mid-Market,MG,6,2427.22,active,2023-01
49,2023-01-01,TikTok Ads,Performance_Search,SMB,PR,4,877.44,active,2023-01
50,2023-01-01,TikTok Ads,Performance_Search,Mid-Market,SC,6,2528.29,churned,2023-01
51,2023-01-01,TikTok Ads,Performance_Search,Mid-Market,RS,7,2808.69,churned,2023-01
52,2023-01-01,TikTok Ads,Performance_Search,SMB,RS,2,365.68,active,2023-01
53,2023-01-01,TikTok Ads,Performance_Search,SMB,SP,6,1048.2,active,2023-01
54,2023-01-01,TikTok Ads,Performance_Search,SMB,SP,9,1529.55,active,2023-01
55,2023-01-01,TikTok Ads,Performance_Search,Mid-Market,DF,5,3628.32,active,2023-01
56,2023-01-01,TikTok Ads,Performance_Search,SMB,RJ,3,605.26,active,2023-01
57,2023-01-01,TikTok Ads,Performance_Search,SMB,SC,5,775.16,active,2023-01
58,2023-01-01,TikTok Ads,Performance_Search,SMB,RJ,6,1319.52,churned,2023-01
59,2023-01-01,TikTok Ads,Performance_Search,Mid-Market,SP,7,2861.1,active,2023-01
60,2023-01-01,TikTok Ads,Performance_Search,SMB,SP,6,1474.18,active,2023-01
61,2023-01-01,TikTok Ads,Performance_Search,Enterprise,PE,5,5640.91,churned,2023-01
62,2023-01-01,TikTok Ads,Performance_Shopping,SMB,SP,5,959.14,active,2023-01
63,2023-01-01,TikTok Ads,Performance_Shopping,SMB,RJ,4,1121.67,churned,2023-01
64,2023-01-01,TikTok Ads,Performance_Shopping,SMB,MG,6,761.51,active,2023-01
65,2023-01-01,TikTok Ads,Performance_Shopping,Enterprise,SP,3,3163.53,active,2023-01
66,2023-01-01,TikTok Ads,Performance_Shopping,Enterprise,SC,3,3945.9,active,2023-01
67,2023-01-01,TikTok Ads,Performance_Shopping,Mid-Market,RJ,5,3800.94,churned,2023-01
68,2023-01-01,TikTok Ads,Performance_Shopping,SMB,SP,6,1104.51,churned,2023-01
69,2023-01-01,TikTok Ads,Performance_Shopping,Mid-Market,SC,9,4307.95,active,2023-01
70,2023-01-01,TikTok Ads,Performance_Shopping,Mid-Market,RS,6,2871.07,active,2023-01
