Data,Meta_Receita,Meta_Pedidos,Meta_Novos_Clientes,Meta_ROAS
2022-01-01,17150.0,42,28,2.8
2022-01-02,17150.0,42,28,2.8
2022-01-03,24500.0,60,40,2.8
2022-01-04,24500.0,60,40,2.8
2022-01-05,24500.0,60,40,2.8
2022-01-06,24500.0,60,40,2.8
2022-01-07,24500.0,60,40,2.8
2022-01-08,17150.0,42,28,2.8
2022-01-09,17150.0,42,28,2.8
2022-01-10,24500.0,60,40,2.8
2022-01-11,24500.0,60,40,2.8
2022-01-12,24500.0,60,40,2.8
2022-01-13,24500.0,60,40,2.8
2022-01-14,24500.0,60,40,2.8
2022-01-15,17150.0,42,28,2.8
2022-01-16,17150.0,42,28,2.8
2022-01-17,24500.0,60,40,2.8
2022-01-18,24500.0,60,40,2.8
2022-01-19,24500.0,60,40,2.8
2022-01-20,24500.0,60,40,2.8
2022-01-21,24500.0,60,40,2.8
2022-01-22,17150.0,42,28,2.8
2022-01-23,17150.0,42,28,2.8
2022-01-24,24500.0,60,40,2.8
2022-01-25,24500.0,60,40,2.8
2022-01-26,24500.0,60,40,2.8
2022-01-27,24500.0,60,40,2.8
2022-01-28,24500.0,60,40,2.8
2022-01-29,17150.0,42,28,2.8
2022-01-30,17150.0,42,28,2.8
2022-01-31,24500.0,60,40,2.8
2022-02-01,24500.0,60,40,2.8
2022-02-02,24500.0,60,40,2.8
2022-02-03,24500.0,60,40,2.8
2022-02-04,24500.0,60,40,2.8
2022-02-05,17150.0,42,28,2.8
2022-02-06,17150.0,42,28,2.8
2022-02-07,24500.0,60,40,2.8
2022-02-08,24500.0,60,40,2.8
2022-02-09,24500.0,60,40,2.8
2022-02-10,24500.0,60,40,2.8
2022-02-11,24500.0,60,40,2.8
2022-02-12,17150.0,42,28,2.8
2022-02-13,17150.0,42,28,2.8
2022-02-14,24500.0,60,40,2.8
2022-02-15,24500.0,60,40,2.8
2022-02-16,24500.0,60,40,2.8
2022-02-17,24500.0,60,40,2.8
2022-02-18,24500.0,60,40,2.8
2022-02-19,17150.0,42,28,2.8
2022-02-20,17150.0,42,28,2.8
2022-02-21,24500.0,60,40,2.8
2022-02-22,24500.0,60,40,2.8
2022-02-23,24500.0,60,40,2.8
2022-02-24,24500.0,60,40,2.8
2022-02-25,24500.0,60,40,2.8
2022-02-26,17150.0,42,28,2.8
2022-02-27,17150.0,42,28,2.8
2022-02-28,24500.0,60,40,2.8
2022-03-01,24500.0,60,40,2.8
2022-03-02,24500.0,60,40,2.8
2022-03-03,24500.0,60,40,2.8
2022-03-04,24500.0,60,40,2.8
2022-03-05,17150.0,42,28,2.8
2022-03-06,17150.0,42,28,2.8
2022-03-07,24500.0,60,40,2.8
2022-03-08,24500.0,60,40,2.8
2022-03-09,24500.0,60,40,2.8
2022-03-10,24500.0,60,40,2.8
2022-03-11,24500.0,60,40,2.8
2022-03-12,17150.0,42,28,2.8
2022-03-13,17150.0,42,28,2.8
2022-03-14,24500.0,60,40,2.8
2022-03-15,24500.0,60,40,2.8
2022-03-16,24500.0,60,40,2.8
2022-03-17,24500.0,60,40,2.8
2022-03-18,24500.0,60,40,2.8
2022-03-19,17150.0,42,28,2.8
2022-03-20,17150.0,42,28,2.8
2022-03-21,24500.0,60,40,2.8
2022-03-22,24500.0,60,40,2.8
2022-03-23,24500.0,60,40,2.8
2022-03-24,24500.0,60,40,2.8
2022-03-25,24500.0,60,40,2.8
2022-03-26,17150.0,42,28,2.8
2022-03-27,17150.0,42,28,2.8
2022-03-28,24500.0,60,40,2.8
2022-03-29,24500.0,60,40,2.8
2022-03-30,24500.0,60,40,2.8
2022-03-31,24500.0,60,40,2.8
2022-04-01,24500.0,60,40,2.8
2022-04-02,17150.0,42,28,2.8
2022-04-03,17150.0,42,28,2.8
2022-04-04,24500.0,60,40,2.8
2022-04-05,24500.0,60,40,2.8
2022-04-06,24500.0,60,40,2.8
2022-04-07,24500.0,60,40,2.8
2022-04-08,24500.0,60,40,2.8
2022-04-09,17150.0,42,28,2.8
2022-04-10,17150.0,42,28,2.8
2022-04-11,24500.0,60,40,2.8
2022-04-12,24500.0,60,40,2.8
2022-04-13,24500.0,60,40,2.8
2022-04-14,24500.0,60,40,2.8
2022-04-15,24500.0,60,40,2.8
2022-04-16,17150.0,42,28,2.8
2022-04-17,17150.0,42,28,2.8
2022-04-18,24500.0,60,40,2.8
2022-04-19,24500.0,60,40,2.8
2022-04-20,24500.0,60,40,2.8
2022-04-21,24500.0,60,40,2.8
2022-04-22,24500.0,60,40,2.8
2022-04-23,17150.0,42,28,2.8
2022-04-24,17150.0,42,28,2.8
2022-04-25,24500.0,60,40,2.8
2022-04-26,24500.0,60,40,2.8
2022-04-27,24500.0,60,40,2.8
2022-04-28,24500.0,60,40,2.8
2022-04-29,24500.0,60,40,2.8
2022-04-30,17150.0,42,28,2.8
2022-05-01,18865.0,46,30,2.8
2022-05-02,26950.0,66,44,2.8
2022-05-03,26950.0,66,44,2.8
2022-05-04,26950.0,66,44,2.8
2022-05-05,26950.0,66,44,2.8
2022-05-06,26950.0,66,44,2.8
2022-05-07,18865.0,46,30,2.8
2022-05-08,18865.0,46,30,2.8
2022-05-09,26950.0,66,44,2.8
2022-05-10,26950.0,66,44,2.8
2022-05-11,26950.0,66,44,2.8
2022-05-12,26950.0,66,44,2.8
2022-05-13,26950.0,66,44,2.8
2022-05-14,18865.0,46,30,2.8
2022-05-15,18865.0,46,30,2.8
2022-05-16,26950.0,66,44,2.8
2022-05-17,26950.0,66,44,2.8
2022-05-18,26950.0,66,44,2.8
2022-05-19,26950.0,66,44,2.8
2022-05-20,26950.0,66,44,2.8
2022-05-21,18865.0,46,30,2.8
2022-05-22,18865.0,46,30,2.8
2022-05-23,26950.0,66,44,2.8
2022-05-24,26950.0,66,44,2.8
2022-05-25,26950.0,66,44,2.8
2022-05-26,26950.0,66,44,2.8
2022-05-27,26950.0,66,44,2.8
2022-05-28,18865.0,46,30,2.8
2022-05-29,18865.0,46,30,2.8
2022-05-30,26950.0,66,44,2.8
2022-05-31,26950.0,66,44,2.8
