Data,Canal,Campanha,Investimento,Impressoes,Cliques,Conversoes,Pedidos,Receita,Novos_Clientes
2023-01-01,Google Ads,Display_Generico,643.62,9398,256,7,0.0,0.0,0.0
2023-01-01,Google Ads,Lead_Generation,571.5,738,242,38,0.0,0.0,0.0
2023-01-01,Google Ads,Performance_Search,396.93,395,145,32,2.0,380.56,0.0
2023-01-01,Google Ads,Performance_Shopping,313.63,419,134,27,1.0,81.25,1.0
2023-01-01,Google Ads,Remarketing_Display,203.46,3446,78,21,0.0,0.0,0.0
2023-01-01,Google Ads,Video_Awareness_Amplo,780.43,13088,336,13,1.0,322.92,1.0
2023-01-01,Meta Ads,Display_Generico,562.58,14976,312,9,0.0,0.0,0.0
2023-01-01,Meta Ads,Lead_Generation,370.28,672,223,33,1.0,276.83,0.0
2023-01-01,Meta Ads,Performance_Search,428.02,744,224,44,2.0,336.75,1.0
2023-01-01,Meta Ads,Performance_Shopping,479.99,896,293,46,3.0,2043.58,2.0
2023-01-01,Meta Ads,Remarketing_Display,135.34,2239,68,16,1.0,1150.23,1.0
2023-01-01,Meta Ads,Video_Awareness_Amplo,623.4,14151,335,12,0.0,0.0,0.0
2023-01-01,TikTok Ads,Display_Generico,633.25,20089,523,18,0.0,0.0,0.0
2023-01-01,TikTok Ads,Lead_Generation,402.32,866,351,63,2.0,402.84000000000003,2.0
2023-01-01,TikTok Ads,Performance_Search,462.57,988,411,104,7.0,2587.2799999999997,3.0
2023-01-01,TikTok Ads,Performance_Shopping,612.31,1218,472,106,2.0,327.2,1.0
2023-01-01,TikTok Ads,Remarketing_Display,138.32,4905,122,32,1.0,349.7,0.0
2023-01-01,TikTok Ads,Video_Awareness_Amplo,541.46,12192,411,16,1.0,328.82,0.0
2023-01-02,Google Ads,Display_Generico,1389.08,23505,558,17,1.0,91.14,1.0
2023-01-02,Google Ads,Lead_Generation,573.39,647,237,41,4.0,1629.38,3.0
2023-01-02,Google Ads,Performance_Search,394.24,406,148,34,2.0,450.06,1.0
2023-01-02,Google Ads,Performance_Shopping,843.35,1082,368,64,3.0,1497.58,3.0
2023-01-02,Google Ads,Remarketing_Display,364.24,5439,142,32,0.0,0.0,0.0
2023-01-02,Google Ads,Video_Awareness_Amplo,1302.57,16562,514,20,0.0,0.0,0.0
2023-01-02,Meta Ads,Display_Generico,1418.15,27516,742,21,0.0,0.0,0.0
2023-01-02,Meta Ads,Lead_Generation,525.19,1037,318,45,1.0,1054.27,0.0
2023-01-02,Meta Ads,Performance_Search,697.58,1356,393,71,4.0,852.54,4.0
2023-01-02,Meta Ads,Performance_Shopping,409.43,717,221,37,4.0,2205.59,2.0
2023-01-02,Meta Ads,Remarketing_Display,372.93,8832,218,51,1.0,330.24,1.0
2023-01-02,Meta Ads,Video_Awareness_Amplo,1331.91,26637,789,28,1.0,293.59,1.0
2023-01-02,TikTok Ads,Display_Generico,1136.98,31661,910,32,1.0,385.08,1.0
2023-01-02,TikTok Ads,Lead_Generation,461.3,959,397,71,3.0,871.2,2.0
2023-01-02,TikTok Ads,Performance_Search,864.56,1821,667,148,7.0,1423.55,4.0
