date,channel,campaign,total_sessions,bounced_sessions,mobile_sessions,desktop_sessions,tablet_sessions,total_pages,total_duration_seconds
2023-01-01,Google Ads,Performance_Search,135,80,89,44,2,272,9850
2023-01-01,Google Ads,Performance_Shopping,118,71,81,35,2,235,8470
2023-01-01,Google Ads,Remarketing_Display,69,28,47,18,4,171,6710
2023-01-01,Google Ads,Lead_Generation,218,130,145,63,10,438,15800
2023-01-01,Google Ads,Display_Generico,230,138,155,61,14,460,16560
2023-01-01,Google Ads,Video_Awareness_Amplo,309,185,208,84,17,619,22300
2023-01-01,Meta Ads,Performance_Search,194,116,127,57,10,389,14020
2023-01-01,Meta Ads,Performance_Shopping,263,156,167,75,21,530,19170
2023-01-01,Meta Ads,Remarketing_Display,59,24,41,18,0,146,5730
2023-01-01,Meta Ads,Lead_Generation,210,125,135,68,7,422,15250
2023-01-01,Meta Ads,Display_Generico,286,171,188,84,14,573,20670
2023-01-01,Meta Ads,Video_Awareness_Amplo,289,171,183,95,11,584,21120
2023-01-01,TikTok Ads,Performance_Search,354,210,225,106,23,714,25800
2023-01-01,TikTok Ads,Performance_Shopping,414,248,277,116,21,829,29860
2023-01-01,TikTok Ads,Remarketing_Display,112,47,79,28,5,274,10690
2023-01-01,TikTok Ads,Lead_Generation,307,181,185,102,20,622,22520
2023-01-01,TikTok Ads,Display_Generico,485,288,307,154,24,977,35310
2023-01-01,TikTok Ads,Video_Awareness_Amplo,365,216,228,120,17,737,26670
2023-01-02,Google Ads,Performance_Search,129,77,84,39,6,259,9340
2023-01-02,Google Ads,Performance_Shopping,325,192,203,105,17,657,23790
2023-01-02,Google Ads,Remarketing_Display,127,53,90,30,7,312,12160
2023-01-02,Google Ads,Lead_Generation,224,133,146,70,8,451,16310
2023-01-02,Google Ads,Display_Generico,477,286,320,138,19,954,34370
2023-01-02,Google Ads,Video_Awareness_Amplo,482,287,308,152,22,969,34990
2023-01-02,Meta Ads,Performance_Search,339,201,212,110,17,684,24720
2023-01-02,Meta Ads,Performance_Shopping,192,115,129,54,9,384,13850
2023-01-02,Meta Ads,Remarketing_Display,189,78,120,58,11,466,18210
2023-01-02,Meta Ads,Lead_Generation,299,178,194,93,12,601,21710
2023-01-02,Meta Ads,Display_Generico,702,422,476,194,32,1402,50440
2023-01-02,Meta Ads,Video_Awareness_Amplo,732,437,475,217,40,1469,52990
2023-01-02,TikTok Ads,Performance_Search,567,340,382,148,37,1134,40850
2023-01-02,TikTok Ads,Performance_Shopping,407,243,268,122,17,817,29460
2023-01-02,TikTok Ads,Remarketing_Display,152,62,94,48,10,377,14740
2023-01-02,TikTok Ads,Lead_Generation,350,206,210,124,16,710,25720
2023-01-02,TikTok Ads,Display_Generico,785,467,499,245,41,1580,57040
2023-01-02,TikTok Ads,Video_Awareness_Amplo,1144,682,739,354,51,2299,82940
2023-01-03,Google Ads,Performance_Search,212,126,139,66,7,427,15420
2023-01-03,Google Ads,Performance_Shopping,151,91,106,38,7,301,10820
2023-01-03,Google Ads,Remarketing_Display,78,32,53,20,5,193,7540
2023-01-03,Google Ads,Lead_Generation,277,165,182,80,15,557,20100
2023-01-03,Google Ads,Display_Generico,353,211,233,100,20,708,25520
2023-01-03,Google Ads,Video_Awareness_Amplo,283,168,178,93,12,570,20610
2023-01-03,Meta Ads,Performance_Search,210,124,132,76,2,425,15380
2023-01-03,Meta Ads,Performance_Shopping,370,218,223,132,15,750,27160
2023-01-03,Meta Ads,Remarketing_Display,176,73,121,52,3,433,16910
2023-01-03,Meta Ads,Lead_Generation,336,200,218,103,15,676,24400
2023-01-03,Meta Ads,Display_Generico,467,280,313,137,17,934,33650
2023-01-03,Meta Ads,Video_Awareness_Amplo,607,362,396,182,29,1219,43990
2023-01-03,TikTok Ads,Performance_Search,646,384,411,208,27,1301,46980
2023-01-03,TikTok Ads,Performance_Shopping,573,340,359,185,29,1155,41750
2023-01-03,TikTok Ads,Remarketing_Display,251,103,156,86,9,621,24260
2023-01-03,TikTok Ads,Lead_Generation,601,359,390,175,36,1206,43480
2023-01-03,TikTok Ads,Display_Generico,636,380,417,195,24,1276,46000
2023-01-03,TikTok Ads,Video_Awareness_Amplo,1011,606,673,295,43,2023,72870
2023-01-04,Google Ads,Performance_Search,192,114,121,61,10,387,13980
2023-01-04,Google Ads,Performance_Shopping,267,161,184,72,11,532,19120
2023-01-04,Google Ads,Remarketing_Display,88,35,45,40,3,220,8650
2023-01-04,Google Ads,Lead_Generation,305,183,208,82,15,610,21960
2023-01-04,Google Ads,Display_Generico,425,251,257,144,24,860,31120
2023-01-04,Google Ads,Video_Awareness_Amplo,407,241,253,136,18,822,29720
2023-01-04,Meta Ads,Performance_Search,420,251,275,134,11,842,30370
2023-01-04,Meta Ads,Performance_Shopping,192,113,115,69,8,389,14110
2023-01-04,Meta Ads,Remarketing_Display,177,73,117,51,9,437,17060
2023-01-04,Meta Ads,Lead_Generation,452,272,313,125,14,902,32440
2023-01-04,Meta Ads,Display_Generico,714,427,469,214,31,1431,51590
2023-01-04,Meta Ads,Video_Awareness_Amplo,555,327,335,191,29,1125,40740
2023-01-04,TikTok Ads,Performance_Search,640,383,423,185,32,1282,46210
2023-01-04,TikTok Ads,Performance_Shopping,496,296,322,160,14,996,35920
2023-01-04,TikTok Ads,Remarketing_Display,255,104,151,87,17,632,24730
2023-01-04,TikTok Ads,Lead_Generation,656,391,426,200,30,1318,47570
2023-01-04,TikTok Ads,Display_Generico,1130,678,756,323,51,2260,81360
2023-01-04,TikTok Ads,Video_Awareness_Amplo,1005,603,673,291,41,2010,72360
2023-01-05,Google Ads,Performance_Search,207,124,140,59,8,414,14930
2023-01-05,Google Ads,Performance_Shopping,316,188,200,101,15,636,22960
2023-01-05,Google Ads,Remarketing_Display,134,56,92,39,3,329,12820
2023-01-05,Google Ads,Lead_Generation,157,92,96,51,10,319,11590
2023-01-05,Google Ads,Display_Generico,426,253,268,134,24,858,31010
2023-01-05,Google Ads,Video_Awareness_Amplo,509,300,304,177,28,1031,37350
2023-01-05,Meta Ads,Performance_Search,187,111,117,56,14,377,13620
2023-01-05,Meta Ads,Performance_Shopping,331,198,220,96,15,663,23910
2023-01-05,Meta Ads,Remarketing_Display,150,62,95,43,12,370,14440
2023-01-05,Meta Ads,Lead_Generation,473,282,306,144,23,950,34290
2023-01-05,Meta Ads,Display_Generico,573,342,372,175,26,1150,41490
2023-01-05,Meta Ads,Video_Awareness_Amplo,437,259,271,144,22,882,31880
2023-01-05,TikTok Ads,Performance_Search,634,379,414,187,33,1271,45830
2023-01-05,TikTok Ads,Performance_Shopping,531,317,345,158,28,1066,38440
2023-01-05,TikTok Ads,Remarketing_Display,199,81,123,65,11,494,19320
2023-01-05,TikTok Ads,Lead_Generation,446,266,288,139,19,896,32320
2023-01-05,TikTok Ads,Display_Generico,954,567,603,300,51,1921,69390
2023-01-05,TikTok Ads,Video_Awareness_Amplo,606,361,388,191,27,1218,43970
2023-01-06,Google Ads,Performance_Search,208,125,141,56,11,415,14950
2023-01-06,Google Ads,Performance_Shopping,351,211,237,104,10,701,25220
2023-01-06,Google Ads,Remarketing_Display,88,36,54,27,7,218,8520
2023-01-06,Google Ads,Lead_Generation,155,92,103,43,9,312,11290
2023-01-06,Google Ads,Display_Generico,541,325,369,147,25,1081,38900
2023-01-06,Google Ads,Video_Awareness_Amplo,295,176,194,88,13,592,21370
2023-01-06,Meta Ads,Performance_Search,370,220,238,113,19,745,26900
2023-01-06,Meta Ads,Performance_Shopping,401,239,261,117,23,806,29080
2023-01-06,Meta Ads,Remarketing_Display,124,52,89,29,6,304,11840
2023-01-06,Meta Ads,Lead_Generation,452,268,286,142,24,912,32960
2023-01-06,Meta Ads,Display_Generico,384,231,262,104,18,766,27570
2023-01-06,Meta Ads,Video_Awareness_Amplo,441,262,277,140,24,888,32090
2023-01-06,TikTok Ads,Performance_Search,764,454,483,234,47,1539,55580
2023-01-06,TikTok Ads,Performance_Shopping,729,432,456,244,29,1471,53190
2023-01-06,TikTok Ads,Remarketing_Display,186,77,121,58,7,458,17890
2023-01-06,TikTok Ads,Lead_Generation,624,376,428,171,25,1244,44720
2023-01-06,TikTok Ads,Display_Generico,588,351,382,179,27,1180,42570
2023-01-06,TikTok Ads,Video_Awareness_Amplo,816,488,539,238,39,1636,58960
2023-01-07,Google Ads,Performance_Search,194,116,129,54,11,389,14020
2023-01-07,Google Ads,Performance_Shopping,91,55,66,20,5,181,6500
